pattern1	pattern2	instance1	instance2	similarity scores	worker IDs
experience anything like	write something like	anybody experience anything like this before	anybody write something like this before	2 6 6 1 1	39 43 44 12 15
be served at	be offered at	alcohol be served at this hotel	alcohol be offered at this hotel	5 5 6 6 6	39 5 43 12 48
agree with	feel sorry for	Jack agree with Jill	Jack feel sorry for Jill	1 2 5 2 4	16 17 19 48 25
be excited for	be thrilled for	This team be excited for a while	This team be thrilled for a while	6 6 6 6 5	41 1 2 32 4
apologize to	congratulate	Lawler apologize to the crowd	Lawler congratulate the crowd	2 2 1 2 2	40 14 50 8 48
leave for	leave to	Marx leave for the proletarian movement	Marx leave to the proletarian movement	6 3 5 6 6	47 38 42 18 19
include this in	make an error in	my boss include this in my profile	my boss make an error in my profile	1 6 6 1 2	34 27 28 29 36
be glad in	trust in	our heart be glad in Him	our heart trust in Him	4 3 5 4 3	44 13 6 15 25
conduct	be the conductor of	the Corporation conduct any activities	the Corporation be the conductor of any activities	4 6 6 5 5	43 35 13 36 45
wish have	hope to get	Many people wish have the talent	Many people hope to get the talent	5 6 6 6 5	1 21 3 32 4
click on	want to click on	Some users click on the links	Some users want to click on the links	5 5 6 5 3	39 5 44 6 35
raise a couple of	be plagued with	the selection raise a couple of questions	the selection be plagued with questions	5 3 3 4 5	51 1 2 22 23
be cremated in	be burnt in	His body be cremated in England	His body be burnt in England	6 6 6 6 6	27 28 35 29 46
soften with	shine with	Fabric soften with washing	Fabric shine with washing	6 6 1 2 1	34 28 35 29 36
be encouraged to submit	be invited to send	Fans be encouraged to submit photos of themselves	Fans be invited to send photos of themselves	5 6 6 6 6	6 7 11 8 9
stop think about	have dream about	These MILF stop think about cocks	These MILF have dream about cocks	6 1 2 2 5	16 2 22 37 49
speak	speak broken	some staff speak English	some staff speak broken English	1 5 2 6 3	30 31 3 32 33
be connected to	be attached to	The kennel be connected to the house	The kennel be attached to the house	6 6 4 5 6	13 6 15 48 25
be a lot of	be an awful lot of	Their reception be a lot of fun	Their reception be an awful lot of fun	6 5 6 6 6	16 42 18 10 49
be allowed in	be welcome in	television be allowed in the courtroom	television be welcome in the courtroom	5 6 5 6 6	5 12 14 7 15
be available in	come in	The application be available in three languages	The application come in three languages	6 5 6 6 7	44 17 24 15 25
be scheduled for	be set for	The contest be scheduled for Wednesday night	The contest be set for Wednesday night	7 6 7 6 5	14 11 50 9 48
start to learn	begin to study	my family start to learn sign	my family begin to study sign	6 6 6 5 6	13 11 15 48 25
roll	believe	The attendant roll his eyes	The attendant believe his eyes	2 1 2 3 5	0 51 2 21 4
have a great influence on	continue to influence	His life have a great influence on others	His life continue to influence others	6 6 6 6 5	16 51 2 22 49
be an avid user of	have an older version of	Sherlock Holmes be an avid user of opium	Sherlock Holmes have an older version of opium	3 3 4 2 2	5 7 10 11 8
rise to	surge to	UCLA rise to No. 2	UCLA surge to No. 2	1 6 6 5 6	30 31 3 33 48
wish to add to	add the item to	the customer wish to add to the shopping cart	the customer add the item to the shopping cart	3 4 5 5 5	0 22 21 52 4
be happy to be	look to be	God be happy to be that way	God look to be that way	3 3 1 3 4	39 5 44 6 35
happen through	happen via	experience happen through trial and error	experience happen via trial and error	6 6 7 6 7	58 7 50 8 9
approach	inform	the supervisor approach him	the supervisor inform him	3 2 2 4 6	51 22 37 20 49
be happy about	feel good about	Not everyone be happy about this change	Not everyone feel good about this change	6 6 6 6 6	58 7 50 8 9
be fascinated with	get into	America be fascinated with magic	America get into magic	6 6 5 5 6	27 28 59 29 46
want to thank	speak with	The couple want to thank their families and friends	The couple speak with their families and friends	3 3 3 3 5	6 11 50 8 9
have hundred of	have million of	lawyers have hundred of other cases	lawyers have million of other cases	6 1 3 6 4	30 31 3 32 33
be entitled to	be afforded	The landlord be entitled to possession of the rental unit	The landlord be afforded possession of the rental unit	6 6 5 6 5	30 31 3 32 33
thank	meet with	Charisse thank him	Charisse meet with him	6 5 1 2 2	34 28 35 29 36
use a combination of	utilize a variety of	Chiropractors use a combination of treatments	Chiropractors utilize a variety of treatments	6 5 2 6 5	22 21 37 20 49
have no limit on	be flexible on	Nevada have no limit on losses	Nevada be flexible on losses	1 6 2 4 4	34 27 29 36 45
be possible in	be important in	This kind of thing be possible in the past	This kind of thing be important in the past	6 2 1 4 2	47 0 1 2 3
have a love for	share my love of	My father have a love for education	My father share my love of education	6 6 3 3 4	43 44 35 6 45
be used in	be most used in	herbs be used in combination	herbs be most used in combination	6 6 6 6 6	30 31 3 33 48
appear before	be the former chairman of	Gabriel appear before him	Gabriel be the former chairman of him	1 1 4 6 5	30 31 3 32 33
admit to	reveal to	Olympic gold medalist Michael Phelps admit to regrettable behavior	Olympic gold medalist Michael Phelps reveal to regrettable behavior	4 5 5 2 6	0 41 51 37 49
exhibit	be born with	The miracles of Jesus exhibit Him	The miracles of Jesus be born with Him	6 5 6 6 5	30 31 3 32 33
be open for	be served at	The lounge be open for lunch and dinner	lunch and dinner be served at The lounge	5 6 6 6 6	6 7 50 8 9
hate	ignore	others hate Wal-Mart	others ignore Wal-Mart	1 6 5 1 5	43 44 6 35 45
be a senior at	be a graduate student at	Chris be a senior at Boston College	Chris be a graduate student at Boston College	5 1 5 3 5	0 2 1 52 4
be persecuted in	be citizen of	Christians be persecuted in this country	Christians be citizen of this country	1 1 3 5 1	30 31 3 33 48
be decorated with	be equipped with	All rooms be decorated with private furnished balconies	All rooms be equipped with private furnished balconies	6 5 2 6 6	41 22 37 20 49
pick	recognize	Fans pick their favorite drivers	Fans recognize their favorite drivers	3 6 4 2 5	13 6 11 24 25
detect	employ	click detect settings	click employ settings	3 1 2 5 3	38 17 18 19 10
be happy with	be disappointed in	Truman be happy with his life	Truman be disappointed in his life	1 1 1 1 1	58 7 50 8 9
trust	disagree with	The horse trust his rider	The horse disagree with his rider	3 3 2 5 2	38 42 18 19 10
get out of	get rid of	the soldier get out of his car	the soldier get rid of his car	3 2 1 2 1	39 6 7 8 9
be earlier in	be the last one of	my passion be earlier in my life	my passion be the last one of my life	6 1 2 1 3	44 13 14 15 25
nourish	calm	your body nourish your baby	your body calm your baby	2 1 2 6 5	0 1 3 32 4
deny	admit	The government deny these charges	The government admit these charges	3 3 2 5 1	38 42 18 19 20
be dedicated to	be named after	This site be dedicated to the SELLERS	This site be named after the SELLERS	6 4 3 3 3	47 41 22 37 20
seek	attach	Chrysler seek a loan	Chrysler attach a loan	3 6 3 2 6	38 47 42 18 19
possess	speak of	Individuals possess a high school diploma	Individuals speak of a high school diploma	3 1 2 2 5	51 1 22 23 4
default on	be unable to meet	the borrower default on payments	the borrower be unable to meet payments	5 6 5 3 5	42 21 19 10 49
be glorified in	have great plan for	Christ be glorified in his body	Christ have great plan for his body	3 2 5 3 6	42 21 20 10 49
come of	be 50 year of	Baby boomers come of age	Baby boomers be 50 year of age	2 4 2 3 2	5 40 12 14 11
arrive at	land at	Two helicopters arrive at the scene	Two helicopters land at the scene	3 6 2 6 5	38 42 37 10 49
be made for	be provided for	Every effort be made for students	Every effort be provided for students	5 6 6 6 6	0 16 2 22 20
be taken in	be shot in	This picture be taken in Sierra Leone	This picture be shot in Sierra Leone	4 6 7 6 4	30 31 1 3 33
seek	pursue	others seek medical care	others pursue medical care	3 6 6 6 3	38 16 18 19 10
appear before	represent client before	Gabriel appear before him	Gabriel represent client before him	6 3 3 6 3	47 42 18 19 20
need to keep	get to keep	Microsoft need to keep developers	Microsoft get to keep developers	6 5 6 3 5	30 31 32 50 33
fall to	fall on	snow fall to the ground	snow fall on the ground	6 7 6 6 5	51 1 2 32 4
appear in	appear most in	his work appear in Print	his work appear most in Print	6 6 6 5 4	34 27 29 36 45
order	transfer	Your doctor order lab tests	Your doctor transfer lab tests	1 1 3 2 2	47 16 42 18 20
recover without	refer for	most people recover without any complications	most people refer for any complications	6 6 6 1 2	34 27 28 29 36
do a lot of	love do	Richard do a lot of good	Richard love do good	1 1 3 5 4	34 27 29 23 45
be to raise money for	help raise fund for	The idea be to raise money for charity	The idea help raise fund for charity	6 6 6 6 5	30 31 3 32 33
surrender	abandon	McCain surrender his maverick status	McCain abandon his maverick status	6 6 6 5 6	30 31 3 33 52
love to hear from	enjoy hear from	Marie love to hear from readers	Marie enjoy hear from readers	5 6 6 6 6	6 7 10 11 8
study	be a professor of	The Department of Health study the report	The Department of Health be a professor of the report	2 4 2 2 6	41 0 51 20 4
have a number of	provide	the park have a number of different areas	the park provide different areas	5 6 2 5 5	41 22 37 20 49
split up in	split into	The hotel split up in two floors	The hotel split into two floors	5 5 6 5 7	39 5 12 7 8
climb on	climb up	the little girl climb on his back	the little girl climb up his back	6 6 5 6 2	41 16 51 2 37
disagree with	be rated above	Many people disagree with the following statement	Many people be rated above the following statement	1 5 1 2 1	13 14 15 48 25
be a result of	be attributable to	almost all cases be a result of exposure	almost all cases be attributable to exposure	6 5 6 6 6	58 6 7 8 9
employ more than	provide employment for	Our company employ more than 400 workers	Our company provide employment for 400 workers	6 7 6 6 7	44 13 17 24 25
remind	exclude	Mitchell remind him	Mitchell exclude him	1 1 4 1 6	30 1 33 52 4
be displayed throughout	be found throughout	Posters be displayed throughout the workshop	Posters be found throughout the workshop	5 5 6 6 5	39 6 7 8 9
be made for	be produced for	The movie be made for kids	The movie be produced for kids	7 6 5 6 6	40 12 14 11 9
accomplish this in	learn a lot in	Most people accomplish this in a few minutes	Most people learn a lot in a few minutes	4 2 5 3 5	40 0 1 2 4
get one for	celebrate	My nephew get one for christmas	My nephew celebrate christmas	3 3 2 3 3	39 7 11 8 9
obey	fail to obey	Joseph obey the angel	Joseph fail to obey the angel	6 3 2 1 2	47 38 42 20 10
admire	feel sorry for	Tim admire his older brother	Tim feel sorry for his older brother	3 3 2 1 1	39 6 7 8 9
be cheered by	be applauded by	Investors be cheered by the banking sector	Investors be applauded by the banking sector	6 7 2 6 5	16 51 21 20 49
occur in	occur more in	Cloning occur in nature	Cloning occur more in nature	5 4 5 4 3	0 2 1 52 4
be put on	be placed in	These dates be put on the web site	These dates be placed in the web site	6 6 5 6 3	47 16 42 18 19
find a copy of	read all of	the workers find a copy of the law	the workers read all of the law	4 3 4 3 3	16 14 17 10 25
think about	think of	traders think about the stock market	traders think of the stock market	6 6 6 6 6	39 43 44 12 15
end up make	plan to make	Google end up make billions	Google plan to make billions	5 5 4 6 1	6 7 50 8 9
help safeguard	ensure the protection of	Others help safeguard the environment	Others ensure the protection of the environment	6 6 6 6 4	0 2 32 52 4
have a role to play in	contribute to	patient care have a role to play in safety	patient care contribute to safety	3 5 6 5 2	38 41 16 42 37
go by	talk about	The party go by canoe	The party talk about canoe	2 1 2 5 1	6 7 50 8 9
be published in	be published at	This book be published in the UK.	This book be published at the UK.	7 6 6 6 7	58 11 50 8 9
answer	greet	the Lord answer him	the Lord greet him	3 5 1 5 3	39 40 43 12 15
be ignorant to	be blind to	men be ignorant to such subtleties	men be blind to such subtleties	6 6 5 2 5	41 22 21 37 49
wear	clean	Others wear military uniforms	Others clean military uniforms	2 2 2 3 2	58 6 50 8 9
be referred to as	be dubbed	Seattle be referred to as the rainy city	Seattle be dubbed the rainy city	6 6 6 5 2	0 1 2 21 3
be prevent	help prevent	The medicine be prevent withdrawal symptoms	The medicine help prevent withdrawal symptoms	6 6 6 4 6	47 51 2 1 32
share	rely on	The experts share their experiences	The experts rely on their experiences	3 3 3 2 1	5 12 14 7 15
be known as	be described as	Coho salmon be known as silver salmon	Coho salmon be described as silver salmon	5 6 6 5 6	5 7 10 11 8
want to participate in	take advantage of	business want to participate in the network	business take advantage of the network	5 5 1 3 1	12 14 7 9 15
come into	come to	Jesus come into Cana of Galilee	Jesus come to Cana of Galilee	6 6 6 6 6	27 28 35 29 46
move about	dance around	visitors move about the site	visitors dance around the site	1 6 3 6 5	30 31 3 32 33
be engraved on	be written on	His name be engraved on the village War Memorial	His name be written on the village War Memorial	5 6 6 6 6	39 43 44 12 15
be proud of	feel proud of	All of you be proud of yourselves	All of you feel proud of yourselves	6 6 2 6 5	41 22 37 20 49
be removed from	be put in	a lie be removed from reality	a lie be put in reality	2 1 2 2 2	14 50 8 9 48
be categorized into	be subdivided into	Picasso be categorized into periods	Picasso be subdivided into periods	6 6 6 4 6	30 31 1 33 52
produce	give rise to	Men produce testosterone	Men give rise to testosterone	6 6 5 6 4	30 31 3 33 52
be ready to get to	try to return to	the team be ready to get to the Championship game	the team try to return to the Championship game	4 4 5 3 5	43 44 6 35 45
step in for	play behind	Michelle Obama step in for her husband	Michelle Obama play behind her husband	3 2 2 3 6	38 14 17 18 19
care for	take good care of	families and friends care for older people	families and friends take good care of older people	6 6 5 5 6	1 2 22 21 32
feel the same way as	be happy for	Ada feel the same way as Inman	Ada be happy for Inman	3 1 1 2 2	39 34 47 38 5
be most important to	be best for	the attributes be most important to him	the attributes be best for him	6 5 5 5 4	43 35 13 36 45
grab	push	Whistler grab him	Whistler push him	4 2 2 2 6	41 22 21 37 49
be rare in	be a rarity in	anaphylactic reactions be rare in patients	anaphylactic reactions be a rarity in patients	6 6 5 6 7	43 44 6 35 45
be given to	be important to	user data be given to third parties	user data be important to third parties	2 5 5 1 3	13 11 24 15 25
run into	hit	Ben run into Jessica	Ben hit Jessica	1 1 4 1 5	34 27 23 36 45
hear about	be impressed with	Every Christian hear about spiritual warfare	Every Christian be impressed with spiritual warfare	6 1 2 3 5	43 44 35 6 45
plan	arrange for	The competition plan better service	The competition arrange for better service	1 6 5 6 5	47 16 42 18 19
surrender	regain	McCain surrender his maverick status	McCain regain his maverick status	6 6 1 2 2	34 27 29 23 45
silence	confound	The King silence the opposition	The King confound the opposition	6 4 1 3 4	47 0 51 2 49
be designed in	be done in	All rooms be designed in pastel colours	All rooms be done in pastel colours	6 6 6 6 5	7 11 50 8 9
harangue	see the reaction of	the girl harangue her father	the girl see the reaction of her father	3 2 1 3 2	39 5 43 12 48
agree with	object to	the general public agree with the decision	the general public object to the decision	3 1 6 1 1	34 27 28 35 29
eat	swallow	the big fish eat the little fish	the big fish swallow the little fish	6 6 6 6 7	30 31 3 32 50
be the home of	be named for	Omaha be the home of the Nebraska State Fair	Omaha be named for the Nebraska State Fair	1 2 5 5 5	43 35 13 36 45
do a lot of	do plenty of	spammers do a lot of spoofing	spammers do plenty of spoofing	4 6 6 6 6	47 22 2 21 49
be concerned with	distinguish between	Judaism be concerned with an afterlife	Judaism distinguish between an afterlife	3 2 4 2 5	40 41 2 20 4
be all in	be all on	the lists be all in one spot	the lists be all on one spot	6 5 6 2 6	47 0 22 3 32
be broken into	be comprised of	The sentences be broken into phrases	The sentences be comprised of phrases	6 6 5 3 3	34 27 35 29 36
need to provide	be responsible for provide	The applicant need to provide more detail	The applicant be responsible for provide more detail	5 6 5 5 5	41 2 1 49 4
want to leave	be forced to leave	Nobody want to leave the hospital	Nobody be forced to leave the hospital	6 6 2 2 2	27 28 35 29 46
be grateful for	be overwhelmed by	Readers be grateful for your insight	Readers be overwhelmed by your insight	3 1 2 2 1	39 7 50 8 9
take a road trip to	practice in	the crew take a road trip to Bristol	the crew practice in Bristol	6 2 2 1 1	44 13 14 15 25
be used for	be suited for	an email address be used for correspondence	an email address be suited for correspondence	6 6 7 6 6	30 31 3 32 50
be the meaning of	be the origin of	Such be the meaning of polytheism	Such be the origin of polytheism	5 1 6 5 1	39 43 44 12 15
ensure	mean	these elements ensure your success	these elements mean your success	6 7 6 5 5	44 13 17 24 25
start in	occur in	This process start in the 19th century	This process occur in the 19th century	5 3 6 5 5	41 51 2 22 4
increase the cost of	reduce the demand for	Regulations increase the cost of building	Regulations reduce the demand for building	1 1 1 3 2	34 35 29 46 36
be fine for	be suited for	the weather be fine for the BBQ	the weather be suited for the BBQ	3 5 5 6 6	38 42 18 19 10
influence	be used above	gender influence identity	gender be used above identity	1 1 3 1 4	44 13 6 15 25
be needed for	play a role in	Minerals be needed for growth	Minerals play a role in growth	5 5 5 6 4	0 1 2 3 4
be ready to face	be better prepared for	Caleb Holt be ready to face his toughest job	Caleb Holt be better prepared for his toughest job	6 6 1 6 6	30 31 3 32 50
be good for	be harmful to	TV be good for kids	TV be harmful to kids	1 1 3 5 1	47 16 42 19 20
be separated from	be incorporated into	The islands be separated from the mainland	The islands be incorporated into the mainland	2 1 1 2 2	39 34 47 38 5
engage in	be accused of	Employers engage in monitoring	Employers be accused of monitoring	6 1 3 5 4	34 27 29 36 45
forgive	forget about	God forgive him	God forget about him	2 2 1 2 3	41 0 51 21 4
be worried about	worry about	parents be worried about their sons or daughters	parents worry about their sons or daughters	5 5 6 6 6	39 5 12 7 20
describe	present	a user describe objects	a user present objects	6 1 3 2 3	44 13 14 15 25
be an easy way for	be useful for	Sitemaps be an easy way for webmasters	Sitemaps be useful for webmasters	5 4 6 3 5	5 11 50 9 48
own	be owned by	Microsoft own the desktop	the desktop be owned by Microsoft	5 5 6 6 6	39 5 7 10 8
be beneficial for	have a beneficial effect on	Payday loans be beneficial for salaried individuals	Payday loans have a beneficial effect on salaried individuals	6 6 6 5 6	30 31 32 33 52
be provided	be done	This software be provided as-is	This software be done as-is	4 6 5 2 6	41 22 21 37 49
resonate with	be appreciated by	His stories resonate with adults	His stories be appreciated by adults	6 6 5 5 5	43 44 35 6 45
open for	grow listen to	our company open for business	our company grow listen to business	1 6 2 1 2	34 28 35 29 36
reassemble	unwrap	Children reassemble the picture cards	Children unwrap the picture cards	1 6 3 2 2	41 16 42 37 10
contact	check with	The parties contact each other	The parties check with each other	1 6 5 4 5	30 31 3 32 33
sentence	side with	Her father sentence him	Her father side with him	1 2 2 2 5	41 42 21 37 49
put their faith in	rebel against	his disciples put their faith in him	his disciples rebel against him	3 1 2 2 6	38 16 17 18 19
turn to	examine	Bill turn to him	Bill examine him	6 6 5 3 3	34 27 29 36 45
agree with	argue with	Gibson agree with him	Gibson argue with him	3 1 1 1 6	38 47 16 18 19
turn down	adjust	voters turn down the propositions	voters adjust the propositions	1 1 2 2 4	27 28 35 29 46
take some of	get some of	Bush take some of that money	Bush get some of that money	6 1 6 6 5	0 30 1 3 33
begin experience	start have	The villagers begin experience difficulties	The villagers start have difficulties	6 6 5 6 5	42 21 19 10 49
think about	care about	guys think about this shot	guys care about this shot	3 1 6 3 1	39 43 44 12 15
enter into	be bound by	the country enter into an oil crisis	the country be bound by an oil crisis	5 2 6 4 5	5 11 50 9 48
be a play on	be summed up in	Google be a play on the word googol	Google be summed up in the word googol	4 4 4 3 6	13 17 24 15 25
be known as	be termed	the owner of an LLC be known as a member	the owner of an LLC be termed a member	6 6 6 6 4	58 7 50 8 9
have nothing to do with	be relevant to	the cable have nothing to do with the operating system	the cable be relevant to the operating system	3 2 1 1 5	38 21 18 20 49
shake	grab	The Red Queen shake her head	The Red Queen grab her head	2 3 2 2 5	0 51 22 37 49
experience	begin to experience	The region experience more rainfall	The region begin to experience more rainfall	6 5 6 5 6	47 51 2 1 52
be the head of	be an associate professor in	Jesus be the head of the church	Jesus be an associate professor in the church	2 2 2 2 4	41 51 2 22 37
be good news for	be bad news for	The bill be good news for consumer groups	The bill be bad news for consumer groups	1 2 2 1 5	0 22 3 23 4
kick off	wrap up	The festival kick off its second year	The festival wrap up its second year	5 5 1 5 1	39 5 43 6 35
need to upgrade	need to install	Bose need to upgrade this product	Bose need to install this product	1 1 6 6 2	30 31 3 32 50
be performed in	be accomplished in	the procedure be performed in two steps	the procedure be accomplished in two steps	6 6 6 6 5	34 35 29 46 36
be important to	benefit	prescription medication be important to many people	prescription medication benefit many people	5 6 5 5 4	39 43 12 15 48
start in	kick off in	Building start in November	Building kick off in November	1 6 1 7 5	30 31 32 50 33
take out	remove	the husband take out a box	the husband remove a box	6 5 5 5 5	47 0 21 20 4
be a work in	make a lot of	This website be a work in progress	This website make a lot of progress	4 3 2 2 2	40 13 17 24 25
spend about	walk for about	Visitors spend about two hours	Visitors walk for about two hours	1 4 3 2 5	51 2 22 37 49
be based on	rely on	Our service be based on information	Our service rely on information	6 6 6 4 6	30 31 1 3 33
have a crush on	meet	Mai have a crush on Andy	Mai meet Andy	6 2 2 3 3	16 13 17 10 25
be related to	be dependent on	Abaza be related to Abkhaz	Abaza be dependent on Abkhaz	2 4 2 4 4	0 16 51 37 49
be fine with	get a kick out of	things be fine with the lady	things get a kick out of the lady	1 1 2 1 2	16 31 37 32 10
build	form	a settler build his cabin	a settler form his cabin	1 6 6 6 5	30 31 1 3 33
decide to support	be a supporter of	voters decide to support the Democratic Party	voters be a supporter of the Democratic Party	6 6 6 6 6	16 31 37 10 32
pray to	have mercy on	these people pray to our God	our God have mercy on these people	6 1 1 4 6	47 51 1 21 32
have a lot of	have lot of	the rooms have a lot of light	the rooms have lot of light	6 7 6 6 7	44 13 17 24 25
be impressed with	be amazed with	The producer be impressed with his work	The producer be amazed with his work	5 5 2 6 5	1 21 3 32 4
modify	update	cannot modify header information	cannot update header information	3 1 4 6 5	38 47 21 18 49
deny	affirm	The government deny these charges	The government affirm these charges	2 1 1 1 4	0 41 51 2 49
write a number of	write a couple of	Bill write a number of songs	Bill write a couple of songs	6 5 6 6 3	30 31 3 32 33
post	publish	others post a reply	others publish a reply	5 5 6 5 6	39 5 44 6 35
be helpful for	be necessary for	prenatal vitamins be helpful for women	prenatal vitamins be necessary for women	5 4 4 2 5	0 2 1 3 4
be included for	be included with	Third party links be included for your convenience	Third party links be included with your convenience	5 6 3 6 7	39 58 7 8 9
download	preview	PDF forms download the free Acrobat Reader	PDF forms preview the free Acrobat Reader	4 6 4 5 3	40 44 17 24 25
be released as	be published as	The soundtrack be released as an album	The soundtrack be published as an album	3 5 6 6 6	38 42 18 19 20
edit	upload	No one edit your post	No one upload your post	2 2 2 2 5	41 22 21 37 49
appear on	be used on	my credit appear on my account	my credit be used on my account	6 2 3 4 5	16 17 10 24 25
be developed to help	be designed to enable	a program be developed to help municipal officials	a program be designed to enable municipal officials	5 1 6 6 4	39 43 44 12 15
possess	be believed to have	Applicants possess basic computer skills	Applicants be believed to have basic computer skills	5 5 6 5 5	39 5 43 12 6
be bad for	be safe for	The condition be bad for human beings	The condition be safe for human beings	1 1 1 1 1	30 31 3 32 50
be expand	be begin	The plan be expand next year	The plan be begin next year	2 4 3 2 2	41 22 21 37 20
have a large number of	have the highest number of	This department have a large number of students	This department have the highest number of students	4 6 4 6 5	43 44 35 13 45
begin perform	start play	The band begin perform their own music	The band start play their own music	6 6 6 6 1	16 31 37 10 32
be found outside of	lie within	salvation be found outside of the church	salvation lie within the church	2 3 2 1 1	13 6 11 15 25
favor	state	an economic policy favor the rich	an economic policy state the rich	4 3 2 2 5	41 22 21 37 49
remember	express	No one remember the speech	No one express the speech	4 2 3 4 4	41 22 21 20 49
exist in	be rare in	duty and taxes exist in your country	duty and taxes be rare in your country	2 2 2 2 3	39 40 12 7 20
remain in	be put into	The policy remain in force	The policy be put into force	3 3 5 5 6	0 2 1 52 4
guarantee	improve	zonealarm guarantee a cheap firewall	zonealarm improve a cheap firewall	2 6 4 1 2	13 6 11 15 25
plop in	spend way much time in	Crystal plop in her chair	Crystal spend way much time in her chair	1 2 3 2 3	13 6 11 15 25
hide from	curse	our society hide from its mistakes	our society curse its mistakes	4 2 2 1 1	12 13 14 7 15
graduate	be graduated from	Only 6 % of all Americans graduate high school	Only 6 % of all Americans be graduated from high school	3 6 6 2 5	38 42 21 37 49
seem clear to	become apparent to	the truth seem clear to ourselves	the truth become apparent to ourselves	6 1 6 6 6	27 28 35 29 46
represent	be associated with	This nation represent the ideal	This nation be associated with the ideal	5 5 5 5 6	5 7 20 10 8
allow the use of	allow use of	a search engine allow the use of Boolean operators	a search engine allow use of Boolean operators	6 7 6 7 5	34 35 29 46 36
be $ 40 for	be $ 75 for	Program fees be $ 40 for members	Program fees be $ 75 for members	1 2 2 1 3	40 11 50 9 48
inherit	donate	Jason Todd inherit the Batman	Jason Todd donate the Batman	1 3 6 2 4	47 38 16 18 10
mess with	mess around with	No one mess with the Executioner	No one mess around with the Executioner	6 6 6 6 5	13 17 24 15 25
be held at	be saturday at	Funeral services be held at First Baptist Church	Funeral services be saturday at First Baptist Church	3 3 1 6 3	39 5 43 44 12
be stationed in	spend a year in	American GIs be stationed in Europe	American GIs spend a year in Europe	5 4 4 4 5	39 34 47 38 5
lack	be short of	The slaves lack their freedom	The slaves be short of their freedom	6 5 2 6 5	47 42 18 19 20
vote in	vote against	the committee vote in favor of the bill	the committee vote against favor of the bill	6 2 5 2 1	16 17 19 48 25
want to hire	be interested in hire	A CEO want to hire the best	A CEO be interested in hire the best	7 6 5 5 5	43 44 35 6 45
be composed of	be formed from	the Chinese language be composed of characters	the Chinese language be formed from characters	5 6 6 6 6	6 7 10 11 8
know about	pay attention to	No one know about Joseph	No one pay attention to Joseph	6 6 1 2 2	34 28 35 29 36
do this on	sell on	the consumer do this on their own	the consumer sell on their own	6 2 2 6 3	16 17 18 19 25
love to make	like make	Children love to make these cookies	Children like make these cookies	5 5 1 6 6	39 5 43 44 12
die of	suffer	A dog die of health problems	A dog suffer health problems	6 6 3 3 4	43 44 6 35 45
be unsure of	be unsure as to	Historians be unsure of the reason	Historians be unsure as to the reason	6 6 6 6 5	34 28 35 29 36
smile	sigh	his wife smile more	his wife sigh more	3 2 6 1 2	39 5 43 12 48
drop	pick up	The pilot drop the marker	The pilot pick up the marker	1 1 1 2 6	0 2 1 21 4
need to take	plan to take	Nobody need to take a plane	Nobody plan to take a plane	6 1 6 4 4	34 27 29 23 45
find each of	review all of	Readers find each of these books	Readers review all of these books	3 4 2 1 3	5 13 14 15 25
reflect	restrict	a program reflect your interests and needs	a program restrict your interests and needs	6 6 1 2 3	34 27 29 36 45
be interested in learn more about	be interested in find out more about	students be interested in learn more about information technology	students be interested in find out more about information technology	3 1 5 6 5	38 47 42 18 19
want to go out to	be ready to head to	Alice want to go out to supper	Alice be ready to head to supper	4 5 4 2 4	41 42 21 37 20
contain the title of	be a copy of	The first page contain the title of the paper	The first page be a copy of the paper	3 3 1 3 2	39 5 43 12 48
have solution for	offer solution to	the equations have solution for x and y	the equations offer solution to x and y	6 6 4 6 7	30 31 3 33 52
depend on	be best for	Our business depend on your satisfaction	your satisfaction be best for Our business	5 5 2 6 5	51 1 3 23 4
be bad for	be great for	the weather be bad for him	the weather be great for him	6 1 1 2 2	34 27 29 36 45
give to	speak to	Moses give to the people of Israel	Moses speak to the people of Israel	6 6 1 2 4	34 27 53 36 45
smell like	have the smell of	VALTREX smell like a fish	VALTREX have the smell of a fish	6 7 6 6 6	0 51 1 22 4
be ignorant to	turn a blind eye to	men be ignorant to such subtleties	men turn a blind eye to such subtleties	1 6 6 6 1	16 31 37 10 32
contemplate	allude to	the nation contemplate the politics	the nation allude to the politics	4 5 2 1 3	13 6 11 15 25
start in	begin the first week of	This process start in the 19th century	This process begin the first week of the 19th century	6 6 6 5 4	34 27 29 36 45
grow into	be grown into	him grow into a fine young man	him be grown into a fine young man	5 6 6 7 6	14 11 50 9 48
stay in	be removed from	the paint stay in the cracks	the paint be removed from the cracks	1 1 1 1 1	58 7 50 8 9
be intended to be a substitute for	be to be used for	Our site be intended to be a substitute for professional medical advice	Our site be to be used for professional medical advice	6 6 3 6 4	43 44 35 13 45
recommend for	approve for	This apartment recommend for 5 adults	This apartment approve for 5 adults	6 6 6 6 5	30 31 3 32 33
be the result of	stem from	Character be the result of two things	Character stem from two things	6 5 6 6 6	27 28 59 29 46
have a great influence on	have the biggest impact on	Parents have a great influence on the career development of their children	Parents have the biggest impact on the career development of their children	5 5 6 6 6	39 5 7 20 8
wake up in	come in in	THE GUYS wake up in THE MORNING	THE GUYS come in in THE MORNING	6 2 5 2 4	16 17 10 48 25
match	go with	your skills match the job description	your skills go with the job description	6 5 6 6 3	41 51 2 20 49
